GRE,TOEFL,CGPA / %,WORK_EX,IELTS,SOP,LOR,PERCENTAGE
322,110,5.66,6,7.5,2,2,51.6
319,110,9.5,16,7.5,5,5,90
326,111,0.601,42,7.5,3,3,60.1
310,112,7,30,7.5,3,3,65
316,113,7.86,36,7.5,3,3,73.6
320,113,7.9,17,7.5,3,3,74
316,117,0.915,6,8.5,5,5,91.5
299,84,8.64,67,6,4,4,81.4
305,85,8.65,8,6,4,4,81.5
303,85,6.3,6,6,2,2,58
300,85,6.52,17,6,3,3,60.2
287,87,8.8,18,6,4,4,83
303,87,0.68,60,6,3,3,68
303,89,6.5,0,6,3,3,60
298,90,9.12,24,6,4,4,86.2
310,92,5.5,0,6,2,2,50
308,92,0.6333,60,6,3,3,63.33
295,93,0.54,41,6.5,2,2,54
296,93,0.62,45,6.5,3,3,62
305,95,8.78,1,6.5,4,4,82.8
305,95,6.75,16,6.5,3,3,62.5
305,95,6,0,6.5,2,2,55
298,95,0.67,23,6.5,3,3,67
305,95,6.8,1,6.5,3,3,63
296,95,7.72,0,6.5,3,3,72.2
304,95,0.67,35,6.5,3,3,67
322,95,6.45,1,6.5,2,2,59.5
305,95,8.7,60,6.5,4,4,82
305,95,7.42,0,6.5,3,3,69.2
307,95,7.5,4,6.5,3,3,70
305,95,6,5,6.5,2,2,55
305,95,0.81,20,6.5,4,4,81
305,95,0.724,51,6.5,3,3,72.4
305,95,0.55,48,6.5,2,2,55
305,95,6.28,0,6.5,2,2,57.8
310,96,0.65,24,6.5,3,3,65
306,96,0.73,60,6.5,3,3,73
301,97,0.678,40,6.5,3,3,67.8
307,97,6,0,6.5,2,2,55
303,98,0.7828,46,6.5,4,4,78.28
297,98,6.08,0,6.5,2,2,55.8
310,99,0.57,43,6.5,2,2,57
306,99,8.5,0,6.5,4,4,80
296,100,6.2,0,6.5,2,2,57
305,101,8.11,0,7,4,4,76.1
308,101,0.81,20,7,4,4,81
290,101,0.653,4,7,3,3,65.3
305,101,7,0,7,3,3,65
308,101,0.7,30,7,3,3,70
312,102,9.05,2,7,4,4,85.5
289,102,0.61,33,7,3,3,61
305,102,8.33,3,7,4,4,78.3
313,102,0.79,0,7,4,4,79
302,102,5.6,8,7,2,2,51
306,104,0.8022,20,7,4,4,80.22
309,104,0.56,38,7,2,2,56
305,105,8.17,52,7,4,4,76.7
313,107,0.62,6,7,3,3,62
331,107,0.6436,24,7,3,3,64.36
320,108,0.66,15,7,3,3,66
312,109,7.9,0,7.5,3,3,74
315,110,0.64,44,7.5,3,3,64
305,95,8.1,0,6.5,4,4,76
305,95,0.62,0,6.5,3,3,62
305,95,8.5,0,6.5,4,4,80
305,95,0.72,27,6.5,3,3,72
305,95,6.24,0,6.5,2,2,57.4
287,95,0.599,80,6.5,2,2,59.9
305,95,0.71,0,6.5,3,3,71
305,95,7.02,0,6.5,3,3,65.2
305,95,0.742,0,6.5,3,3,74.2
305,95,5.96,20,6.5,2,2,54.6
305,95,0.59,30,6.5,2,2,59
326,99,8.322,12,6.5,4,4,78.22
311,99,7,20,6.5,3,3,65
315,100,7.54,0,6.5,3,3,70.4
305,101,0.72,29,7,3,3,72
311,101,0.62,54,7,3,3,62
319,104,9.21,30,7,4,4,87.1
326,104,7.79,12,7,3,3,72.9
317,104,7,30,7,3,3,65
317,105,0.8,60,7,4,4,80
318,105,6.8,42,7,3,3,63
318,106,8.1,30,7,4,4,76
331,107,0.6436,24,7,3,3,64.36
305,109,7.35,0,7.5,3,3,68.5
316,109,0.64,36,7.5,3,3,64
318,110,8.2,20,7.5,4,4,77
326,110,7.2,50,7.5,3,3,67
315,112,8.3,12,7.5,4,4,78
313,95,0.65,22,6.5,3,3,65
305,95,0.7,13,6.5,3,3,70
305,95,0.6,25,6.5,3,3,60
305,95,7.5,0,6.5,3,3,70
305,95,7.2,0,6.5,3,3,67
313,95,0.7887,17,6.5,4,4,78.87
299,95,0.764,29,6.5,4,4,76.4
284,95,6.54,39,6.5,3,3,60.4
305,95,0.54,22,6.5,2,2,54
305,95,8.51,8,6.5,4,4,80.1
305,95,8.5,15,6.5,4,4,80
305,95,7.11,0,6.5,3,3,66.1
312,96,8.6,15,6.5,4,4,81
315,100,8.31,19,6.5,4,4,78.1
324,100,6.96,25,6.5,3,3,64.6
321,101,7.35,36,7,3,3,68.5
305,101,7.93,17,7,3,3,74.3
315,102,8.2,16,7,4,4,77
328,104,8.1,12,7,4,4,76
318,105,0.7858,0,7,4,4,78.58
305,107,8.44,20,7,4,4,79.4
325,108,0.766,24,7,4,4,76.6
312,109,7.2,33,7.5,3,3,67
316,109,0.714,20,7.5,3,3,71.4
317,110,9.12,24,7.5,4,4,86.2
327,112,7.7,32,7.5,3,3,72
316,117,9.1,4,8.5,4,4,86
306,95,0.63,0,6.5,3,3,63
305,95,0.724,67,6.5,3,3,72.4
305,95,0.71,25,6.5,3,3,71
305,95,6.1,0,6.5,2,2,56
305,95,6.97,9,6.5,3,3,64.7
305,95,0.69,0,6.5,3,3,69
305,95,6.5,0,6.5,3,3,60
305,95,8.5,0,6.5,4,4,80
294,95,6.9,30,6.5,3,3,64
305,95,7.5,0,6.5,3,3,70
306,97,8.5,34,6.5,4,4,80
297,97,0.68,87,6.5,3,3,68
315,99,7.6,0,6.5,3,3,71
302,100,0.71,0,6.5,3,3,71
313,100,0.62,10,6.5,3,3,62
297,101,6.87,32,7,3,3,63.7
300,101,9.6,0,7,5,5,91
317,101,7.7,34,7,3,3,72
321,104,6.541,2,7,3,3,60.41
302,104,6.15,5,7,2,2,56.5
320,104,0.75,30,7,4,4,75
327,104,7.28,9,7,3,3,67.8
318,106,8.1,30,7,4,4,76
324,106,0.56,0,7,2,2,56
322,107,0.77,60,7,4,4,77
315,107,7.71,0,7,3,3,72.1
315,109,0.6,30,7.5,3,3,60
329,110,7.4,4,7.5,3,3,69
323,110,8.55,0,7.5,4,4,80.5
322,110,0.65,10,7.5,3,3,65
318,111,6.68,6,7.5,3,3,61.8
320,113,8.14,0,7.5,4,4,76.4
